ID_Tempo;Data;Ano;Mes;Nome_Mes;Trimestre
111;2023-04-21;2023;4;Abril;2023Q2
112;2023-04-22;2023;4;Abril;2023Q2
113;2023-04-23;2023;4;Abril;2023Q2
114;2023-04-24;2023;4;Abril;2023Q2
115;2023-04-25;2023;4;Abril;2023Q2
116;2023-04-26;2023;4;Abril;2023Q2
117;2023-04-27;2023;4;Abril;2023Q2
118;2023-04-28;2023;4;Abril;2023Q2
119;2023-04-29;2023;4;Abril;2023Q2
120;2023-04-30;2023;4;Abril;2023Q2
121;2023-05-01;2023;5;Maio;2023Q2
122;2023-05-02;2023;5;Maio;2023Q2
123;2023-05-03;2023;5;Maio;2023Q2
124;2023-05-04;2023;5;Maio;2023Q2
125;2023-05-05;2023;5;Maio;2023Q2
126;2023-05-06;2023;5;Maio;2023Q2
127;2023-05-07;2023;5;Maio;2023Q2
128;2023-05-08;2023;5;Maio;2023Q2
129;2023-05-09;2023;5;Maio;2023Q2
130;2023-05-10;2023;5;Maio;2023Q2
131;2023-05-11;2023;5;Maio;2023Q2
132;2023-05-12;2023;5;Maio;2023Q2
133;2023-05-13;2023;5;Maio;2023Q2
134;2023-05-14;2023;5;Maio;2023Q2
135;2023-05-15;2023;5;Maio;2023Q2
136;2023-05-16;2023;5;Maio;2023Q2
137;2023-05-17;2023;5;Maio;2023Q2
138;2023-05-18;2023;5;Maio;2023Q2
139;2023-05-19;2023;5;Maio;2023Q2
140;2023-05-20;2023;5;Maio;2023Q2
141;2023-05-21;2023;5;Maio;2023Q2
142;2023-05-22;2023;5;Maio;2023Q2
143;2023-05-23;2023;5;Maio;2023Q2
144;2023-05-24;2023;5;Maio;2023Q2
145;2023-05-25;2023;5;Maio;2023Q2
146;2023-05-26;2023;5;Maio;2023Q2
147;2023-05-27;2023;5;Maio;2023Q2
148;2023-05-28;2023;5;Maio;2023Q2
149;2023-05-29;2023;5;Maio;2023Q2
150;2023-05-30;2023;5;Maio;2023Q2
151;2023-05-31;2023;5;Maio;2023Q2
152;2023-06-01;2023;6;Junho;2023Q2
153;2023-06-02;2023;6;Junho;2023Q2
154;2023-06-03;2023;6;Junho;2023Q2
155;2023-06-04;2023;6;Junho;2023Q2
156;2023-06-05;2023;6;Junho;2023Q2
157;2023-06-06;2023;6;Junho;2023Q2
158;2023-06-07;2023;6;Junho;2023Q2
159;2023-06-08;2023;6;Junho;2023Q2
160;2023-06-09;2023;6;Junho;2023Q2
161;2023-06-10;2023;6;Junho;2023Q2
162;2023-06-11;2023;6;Junho;2023Q2
163;2023-06-12;2023;6;Junho;2023Q2
164;2023-06-13;2023;6;Junho;2023Q2
165;2023-06-14;2023;6;Junho;2023Q2
166;2023-06-15;2023;6;Junho;2023Q2
167;2023-06-16;2023;6;Junho;2023Q2
168;2023-06-17;2023;6;Junho;2023Q2
169;2023-06-18;2023;6;Junho;2023Q2
170;2023-06-19;2023;6;Junho;2023Q2
171;2023-06-20;2023;6;Junho;2023Q2
172;2023-06-21;2023;6;Junho;2023Q2
173;2023-06-22;2023;6;Junho;2023Q2
174;2023-06-23;2023;6;Junho;2023Q2
175;2023-06-24;2023;6;Junho;2023Q2
176;2023-06-25;2023;6;Junho;2023Q2
177;2023-06-26;2023;6;Junho;2023Q2
178;2023-06-27;2023;6;Junho;2023Q2
179;2023-06-28;2023;6;Junho;2023Q2
180;2023-06-29;2023;6;Junho;2023Q2
181;2023-06-30;2023;6;Junho;2023Q2
182;2023-07-01;2023;7;Julho;2023Q3
183;2023-07-02;2023;7;Julho;2023Q3
184;2023-07-03;2023;7;Julho;2023Q3
185;2023-07-04;2023;7;Julho;2023Q3
186;2023-07-05;2023;7;Julho;2023Q3
187;2023-07-06;2023;7;Julho;2023Q3
188;2023-07-07;2023;7;Julho;2023Q3
189;2023-07-08;2023;7;Julho;2023Q3
190;2023-07-09;2023;7;Julho;2023Q3
191;2023-07-10;2023;7;Julho;2023Q3
192;2023-07-11;2023;7;Julho;2023Q3
193;2023-07-12;2023;7;Julho;2023Q3
194;2023-07-13;2023;7;Julho;2023Q3
195;2023-07-14;2023;7;Julho;2023Q3
196;2023-07-15;2023;7;Julho;2023Q3
197;2023-07-16;2023;7;Julho;2023Q3
198;2023-07-17;2023;7;Julho;2023Q3
199;2023-07-18;2023;7;Julho;2023Q3
200;2023-07-19;2023;7;Julho;2023Q3
201;2023-07-20;2023;7;Julho;2023Q3
202;2023-07-21;2023;7;Julho;2023Q3
203;2023-07-22;2023;7;Julho;2023Q3
204;2023-07-23;2023;7;Julho;2023Q3
205;2023-07-24;2023;7;Julho;2023Q3
206;2023-07-25;2023;7;Julho;2023Q3
207;2023-07-26;2023;7;Julho;2023Q3
208;2023-07-27;2023;7;Julho;2023Q3
209;2023-07-28;2023;7;Julho;2023Q3
210;2023-07-29;2023;7;Julho;2023Q3
211;2023-07-30;2023;7;Julho;2023Q3
212;2023-07-31;2023;7;Julho;2023Q3
213;2023-08-01;2023;8;Agosto;2023Q3
214;2023-08-02;2023;8;Agosto;2023Q3
215;2023-08-03;2023;8;Agosto;2023Q3
216;2023-08-04;2023;8;Agosto;2023Q3
217;2023-08-05;2023;8;Agosto;2023Q3
218;2023-08-06;2023;8;Agosto;2023Q3
219;2023-08-07;2023;8;Agosto;2023Q3
220;2023-08-08;2023;8;Agosto;2023Q3
221;2023-08-09;2023;8;Agosto;2023Q3
222;2023-08-10;2023;8;Agosto;2023Q3
223;2023-08-11;2023;8;Agosto;2023Q3
